@id,food_name,category,serving_size_grams,calories_per_100g,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,sodium_mg,iron_mg,calcium_mg,glycemic_index,is_processed,region_common,seasonal_availability,health_tags,allergens,estimated_cost_ugx
25,Katogo,Traditional Dish,100,160,6.0,22.0,6.0,3.5,2.5,280,1.5,45,50,FALSE,Central (Buganda),Year-round,protein-source|balanced-meal|traditional,none,3000
26,Nsenene,Insect Protein,100,430,50.0,5.0,25.0,2.0,0.5,180,8.0,55,5,FALSE,Central/Western,Nov-Dec|May-Jun,protein-rich|iron-rich|sustainable-protein,none,8000
27,Kikalayi,Snack,100,290,15.0,5.0,24.0,0.5,0.3,350,2.5,20,30,TRUE,Central (Kampala),Year-round,protein-rich|high-fat,none,2000
28,Muchomo,Meat Dish,100,220,25.0,0.5,13.0,0.0,0.3,380,2.8,15,0,FALSE,Nationwide,Year-round,protein-rich|iron-source|low-carb,none,5000
29,Pilau,Traditional Dish,100,180,9.0,22.0,6.0,2.0,1.5,420,2.0,40,55,FALSE,Eastern/Northern,Year-round,protein-source|spiced|energy-rich,gluten,3500
30,Eshabwe,Traditional Dish,100,520,2.5,1.0,56.0,0.0,0.5,180,0.2,10,5,FALSE,Western (Ankole),Year-round,energy-dense|traditional|saturated-fat,dairy,4000
31,Chapati,Staple,100,320,8.0,50.0,10.0,2.5,1.0,380,3.0,20,62,TRUE,Urban/Nationwide,Year-round,energy-rich|iron-source,gluten,500
32,Egg Roll,Street Food,100,270,10.0,28.0,13.0,1.5,2.0,450,2.0,55,58,TRUE,Urban,Year-round,protein-source|energy-rich,gluten|eggs,2000
33,Gonja,Snack,100,122,1.3,32.0,0.4,2.3,14.0,4,0.6,6,65,FALSE,Nationwide,Year-round,energy-rich|potassium-source|gluten-free,none,500
34,Mandazi,Snack,100,350,6.0,55.0,12.0,1.5,10.0,280,2.0,30,70,TRUE,Nationwide,Year-round,energy-rich,gluten|eggs,500
35,Cassava Chips,Snack,100,340,1.5,80.0,1.5,3.5,1.0,350,0.5,20,72,TRUE,Nationwide,Year-round,gluten-free|energy-rich,none,1000
36,Chips,Snack,100,312,3.5,41.0,15.0,3.5,0.5,320,0.9,15,75,TRUE,Urban/Nationwide,Year-round,energy-dense,none,2000
37,Samosa,Snack,100,270,7.0,32.0,13.0,2.5,1.5,480,2.0,25,60,TRUE,Urban/Nationwide,Year-round,energy-rich,gluten,1000
38,Bushera,Beverage,100,68,1.5,15.0,0.4,1.2,3.5,8,0.8,12,45,FALSE,Western/Central,Year-round,probiotic|energy-source|traditional,gluten,500
39,Pineapple Juice,Beverage,100,53,0.3,13.0,0.1,0.2,10.0,2,0.2,8,66,TRUE,Nationwide,Year-round,vitamin-C-source|hydrating,none,1500
40,Mango Juice,Beverage,100,60,0.4,15.0,0.2,0.3,12.5,5,0.2,10,60,TRUE,Nationwide,Oct-Jan,vitamin-A-source|vitamin-C,none,1500
41,Banana Juice,Beverage,100,55,0.5,14.0,0.1,0.3,10.0,3,0.2,5,55,TRUE,Central/Western,Year-round,potassium-source|energy-rich,none,1000
42,Orange Juice,Beverage,100,45,0.7,10.0,0.2,0.2,8.5,1,0.1,11,52,TRUE,Nationwide,Jun-Sep,vitamin-C-rich|folate-source,none,1500
43,Beef,Meat,100,250,26.0,0.0,17.0,0.0,0.0,72,2.6,18,0,FALSE,Nationwide,Year-round,protein-rich|iron-rich|zinc-source,none,8000
44,Goat Meat,Meat,100,143,27.0,0.0,3.0,0.0,0.0,86,2.8,13,0,FALSE,Nationwide,Year-round,protein-rich|lean-meat|iron-source,none,7000
45,Pork,Meat,100,242,27.0,0.0,14.0,0.0,0.0,62,1.0,19,0,FALSE,Nationwide,Year-round,protein-rich|B-vitamins|zinc-source,none,6000
46,Chicken,Meat,100,165,31.0,0.0,3.6,0.0,0.0,74,1.0,15,0,FALSE,Nationwide,Year-round,protein-rich|low-fat|niacin-source,none,7000
47,Turkey,Meat,100,135,30.0,0.0,1.0,0.0,0.0,70,1.5,21,0,FALSE,Urban/Central,Year-round,protein-rich|low-fat|selenium-source,none,10000
48,Tilapia,Fish,100,128,26.0,0.0,2.7,0.0,0.0,56,0.6,14,0,FALSE,Nationwide (Lake regions),Year-round,protein-rich|omega-3|low-fat,fish,4000
49,Nile Perch,Fish,100,131,23.0,0.0,4.5,0.0,0.0,68,0.8,20,0,FALSE,Lake Victoria regions,Year-round,protein-rich|omega-3|phosphorus-source,fish,5000
50,Liver (Beef),Organ Meat,100,175,27.0,4.0,5.0,0.0,0.0,80,6.2,11,0,FALSE,Nationwide,Year-round,iron-rich|vitamin-A-rich|B12-source,none,3000
51,Tripe,Organ Meat,100,85,15.0,0.0,3.0,0.0,0.0,97,0.5,12,0,FALSE,Nationwide,Year-round,protein-source|low-fat|collagen-rich,none,2000
